session_number,animal_id,weight_kg,gestation,breed,feeding,age,productive_state,sample_index,elapsed_time_min,timestamp_ms,pastando,rumiando,source_mode,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,methane,ref_temperature_c,ref_humidity_rh,fig_temperature_c,fig_humidity_rh
06,155,,no,,,,si,0,0.0,1778853790586,,,ble,-9582,704,-1060,15,-688,1448,442,31.8494,45.4032,29.6864,51.6854
06,155,,no,,,,si,1,0.0,1778853790691,,,ble,-9657,727,-533,-738,-3845,415,440,31.8067,45.3986,29.6597,51.7708
06,155,,no,,,,si,2,0.0,1778853790797,,,ble,-7111,-1221,-482,-1775,-2961,-660,442,31.7933,45.2247,29.6303,51.8990
06,155,,no,,,,si,3,0.0,1778853790960,,,ble,-8626,359,-402,1534,1002,-1706,441,31.8627,45.2171,29.6437,51.9371
06,155,,no,,,,si,4,0.0,1778853790990,,,ble,-7839,1647,233,1339,-220,457,441,31.7666,45.1560,29.6170,51.9600
06,155,,no,,,,si,5,0.0,1778853791080,,,ble,-8559,-129,2780,397,-595,275,442,31.8494,45.1118,29.6864,52.0745
06,155,,no,,,,si,6,0.0,1778853791186,,,ble,-8231,-227,1449,4472,-3187,1601,441,31.8627,45.1560,29.6864,51.9692
06,155,,no,,,,si,7,0.0,1778853791291,,,ble,-6457,-511,-586,-1010,-3861,1744,441,31.8627,45.1560,29.6597,51.9921
06,155,,no,,,,si,8,0.0,1778853791380,,,ble,-5485,645,383,4285,1652,-1181,441,31.8788,44.9836,29.6597,52.0058
06,155,,no,,,,si,9,0.0,1778853791485,,,ble,-9526,846,1119,2757,865,-1446,441,31.8494,45.0202,29.7158,51.9356
06,155,,no,,,,si,10,0.0,1778853791590,,,ble,-6086,-728,1568,198,3466,-714,442,31.8067,45.0690,29.6170,52.0882
06,155,,no,,,,si,11,0.0,1778853791681,,,ble,-8284,2018,197,3725,1232,-542,441,31.9055,45.1331,29.6437,52.1736
06,155,,no,,,,si,12,0.0,1778853791796,,,ble,-8360,938,416,2482,206,727,441,31.8067,45.0553,29.6303,52.1569
06,155,,no,,,,si,13,0.0,1778853791952,,,ble,-8175,1848,1024,1500,-2385,1298,441,31.8227,45.1377,29.7852,52.1935
06,155,,no,,,,si,14,0.0,1778853791983,,,ble,-7230,-511,324,989,-2785,-979,440,31.7933,45.0278,29.6437,52.2621
06,155,,no,,,,si,15,0.0,1778853792089,,,ble,-5915,456,-1259,3245,-600,-784,439,31.8921,45.3941,29.6036,52.1660
06,155,,no,,,,si,16,0.0,1778853792197,,,ble,-7519,754,-901,4502,3918,-2419,438,31.8067,45.2903,29.6597,52.2148
06,155,,no,,,,si,17,0.0,1778853792298,,,ble,-9877,467,215,3197,1039,-1723,438,31.7666,45.3803,29.6998,52.3110
06,155,,no,,,,si,18,0.0,1778853792400,,,ble,-7985,-567,-988,2530,4583,577,439,31.7800,45.4047,29.7158,52.1691
06,155,,no,,,,si,19,0.0,1778853792503,,,ble,-7793,3531,-1600,4426,1900,26,438,31.8494,45.4810,29.6170,52.2072
06,155,,no,,,,si,20,0.0,1778853792605,,,ble,-9425,1371,-1790,-740,1362,-839,437,31.7800,45.3269,29.6303,52.2988
06,155,,no,,,,si,21,0.0,1778853792697,,,ble,-9833,589,-1008,-1008,-1004,-713,438,31.7800,45.4047,29.6437,52.3018
06,155,,no,,,,si,22,0.0,1778853792797,,,ble,-9330,1512,-1369,2112,-2637,1920,437,31.7666,45.3132,29.6998,52.3751
06,155,,no,,,,si,23,0.0,1778853792960,si,,ble,-9100,-666,-2151,-1795,-4143,1274,436,31.8227,45.4093,29.5903,52.3064
06,155,,no,,,,si,24,0.0,1778853792997,si,,ble,-5620,-1387,-1728,1983,-3617,631,434,31.6812,45.2110,29.7291,52.4315
06,155,,no,,,,si,25,0.0,1778853793097,si,,ble,-3471,-2665,-2115,-1025,4078,-481,436,31.6678,45.1804,29.7158,52.3125
